1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	537
4	R	537
4	W	537
0	R	537
4	J	594
4	R	594
4	W	594
0	R	594
4	J	617
4	R	617
4	W	617
0	R	617
4	J	666
4	R	666
4	W	666
0	R	666
4	J	704
4	R	704
6	N	706
6	J	706
4	W	706
6	R	706
6	E	713
4	J	713
4	R	713
7	N	713
7	J	714
4	W	714
7	R	714
4	J	716
7	E	717
4	R	717
4	W	717
0	R	717
4	J	744
4	R	744
4	W	744
0	R	744
4	J	1134
4	R	1134
4	W	1134
0	R	1134
4	J	1172
4	R	1172
4	W	1172
0	R	1172
4	J	1247
4	R	1247
4	W	1247
0	R	1247
4	J	1312
4	R	1312
4	W	1312
0	R	1312
4	J	1494
4	R	1494
4	W	1494
0	R	1494
4	J	1565
4	R	1565
4	W	1565
0	R	1565
4	J	1643
4	R	1643
4	W	1643
0	R	1643
4	J	1695
4	R	1695
4	W	1695
0	R	1695
4	J	1753
4	R	1753
4	W	1753
0	R	1753
4	J	1790
4	R	1790
4	W	1790
0	R	1790
4	J	1806
4	R	1806
4	W	1806
0	R	1806
4	J	1852
4	R	1852
4	W	1852
0	R	1852
4	J	1868
4	R	1868
4	W	1868
0	R	1868
4	J	1907
4	R	1907
4	W	1907
0	R	1908
4	J	1964
4	R	1964
4	W	1969
0	R	1969
4	J	2039
4	R	2039
4	W	2039
0	R	2039
4	J	2234
4	R	2234
8	N	2235
8	J	2235
4	W	2236
8	R	2236
9	N	2237
9	J	2238
10	N	2239
10	J	2239
8	W	2240
10	R	2240
11	N	2240
11	J	2240
10	W	2240
11	R	2240
11	J	2260
9	R	2260
12	N	2260
12	J	2260
13	N	2260
13	J	2261
9	J	2280
13	R	2280
13	J	2300
12	R	2300
12	J	2320
13	R	2320
13	J	2340
12	R	2340
10	J	2360
12	J	2360
10	R	2360
10	W	2360
11	R	2360
11	J	2380
9	R	2380
9	J	2400
13	R	2400
13	J	2420
12	R	2420
12	J	2440
11	R	2440
11	J	2460
9	R	2460
10	J	2480
9	J	2480
10	R	2480
10	W	2480
13	R	2480
13	J	2500
12	R	2500
12	J	2520
11	R	2520
11	J	2540
9	R	2540
9	J	2560
13	R	2560
13	J	2580
12	R	2580
10	J	2600
12	J	2600
10	R	2600
10	W	2600
11	R	2600
11	J	2620
9	R	2620
9	J	2640
13	R	2640
13	J	2660
12	R	2660
12	J	2680
11	R	2680
11	J	2700
9	R	2700
10	J	2720
9	J	2720
10	R	2720
10	W	2720
13	R	2720
13	J	2740
12	R	2740
12	J	2760
11	R	2760
11	J	2780
9	R	2780
9	J	2800
13	R	2800
13	J	2820
12	R	2820
10	J	2840
12	J	2840
10	R	2840
10	W	2840
11	R	2840
11	J	2860
9	R	2860
9	J	2880
13	R	2880
13	J	2900
12	R	2900
12	J	2920
11	R	2920
11	J	2940
9	R	2940
10	J	2960
9	J	2960
10	R	2960
10	W	2960
13	R	2960
13	J	2980
12	R	2980
12	J	3000
11	R	3000
11	J	3020
9	R	3020
9	J	3040
13	R	3040
13	J	3060
12	R	3060
10	J	3080
3	J	3080
12	J	3080
10	R	3080
10	W	3080
3	R	3080
3	W	3080
11	R	3080
11	J	3100
9	R	3100
9	J	3120
13	R	3120
13	J	3140
12	R	3140
12	J	3160
11	R	3160
11	J	3180
9	R	3180
10	J	3200
9	J	3200
10	R	3200
10	W	3200
13	R	3200
13	J	3220
12	R	3220
12	J	3240
11	R	3240
11	J	3260
9	R	3260
9	J	3280
13	R	3280
13	J	3300
